Tahun;Provinsi;Kabupaten/Kota;Sisa Makanan (%);Kayu-Ranting (%);Kertas-Karton (%);Plastik(%);Logam(%);Kain(%);Karet- Kulit (%);Kaca(%);Lainnya(%)
2022;Aceh;Kab. Aceh Selatan;;;;;;;;;
2022;Aceh;Kab. Aceh Tenggara;41;11;2;18;2;5;17;4;
2022;Aceh;Kab. Aceh Timur;37;14;5;26;5;3;2;4;4
2022;Aceh;Kab. Aceh Barat;41,8;13,3;10,7;18,2;3,1;2,6;1,8;2;6,5
2022;Aceh;Kab. Pidie;8,5;7,5;19,3;35,7;4;1;3;2;19
2022;Aceh;Kab. Simeulue;5,18;13,05;11,93;35,73;16,88;6,65;5,55;2,03;3
2022;Aceh;Kab. Aceh Singkil;30;10;15;22;2;5;3;2;11
2022;Aceh;Kab. Aceh Barat Daya;32,5;11;20;12;11;1,5;3;4;5
2022;Aceh;Kab. Gayo Lues;35;23;5;25;;;;2;10
2022;Aceh;Kab. Aceh Jaya;65;1;11;14;3,5;1;1;2,5;1
2022;Aceh;Kab. Nagan Raya;38;14;11;20;1;1;2;1;12
2022;Aceh;Kab. Aceh Tamiang;35;15;15;30;1;1;1;1;1
2022;Aceh;Kab. Bener Meriah;21;25;19;18;3;3;3;3;5
2022;Aceh;Kab. Pidie Jaya;19;26,3;13;26;2,5;3,5;3,7;3,5;2,5
2022;Aceh;Kota Banda Aceh;32,4;20,6;3;4,8;4,6;6,8;13,2;4,75;9,85
2022;Aceh;Kota Sabang;26,5;16,6;10,5;22,6;6,1;4,3;4,3;3,7;5,4
2022;Aceh;Kota Langsa;19;20;8;12;14;10;7;8;2
2022;Aceh;Kota Subulussalam;28;15;10;18;2;7;8;2;10
2022;Sumatera Utara;Kab. Tapanuli Tengah;54,6;0,01;11,39;13,15;0,37;3,28;0,84;1,59;14,77
2022;Sumatera Utara;Kab. Nias;;;;;;;;;
2022;Sumatera Utara;Kab. Langkat;38;30;24;7;0,2;0,2;0,1;;
2022;Sumatera Utara;Kab. Deli Serdang;20,5;24;13,8;20,2;6;5;3;2;5,5
2022;Sumatera Utara;Kab. Simalungun;5,5;1,93;15,44;20,46;0,37;7,7;4,5;8,6;35,5
2022;Sumatera Utara;Kab. Asahan;;;;;;;;;
2022;Sumatera Utara;Kab. Toba;;;;;;;;;
2022;Sumatera Utara;Kab. Humbang Hasundutan;12;55;10;13;3;1;0,2;0,8;5
2022;Sumatera Utara;Kota Medan;;;;;;;;;
2022;Sumatera Utara;Kota Pematang Siantar;45;6;12;10;5;3;4;4;11
2022;Sumatera Utara;Kota Tebing Tinggi;62,7;1,73;11,43;16,65;0,73;2,6;0,71;1,83;1,62
2022;Sumatera Utara;Kota Padangsidimpuan;49,93;7,58;13,56;12,71;0,38;3,29;1,13;2,17;9,25
2022;Sumatera Barat;Kab. Pesisir Selatan;20,4;19,6;23;19;16;0,42;1,58;;
2022;Sumatera Barat;Kab. Solok;29;20;12;22;2;2;2;2;9
2022;Sumatera Barat;Kab. Sijunjung;20,8;38,12;16,48;20;3,9;0,4;0,3;;
2022;Sumatera Barat;Kab. Tanah Datar;69,34;;8,63;6;2,24;1,57;;3,33;8,89
2022;Sumatera Barat;Kab. Padang Pariaman;31,82;;12,78;43,77;0,21;0,78;2,07;0,54;8,03
2022;Sumatera Barat;Kab. Agam;70;4,02;6;8;2;0,28;0,1;0,6;9
2022;Sumatera Barat;Kab. Lima Puluh Kota;;;;;;;;;
2022;Sumatera Barat;Kab. Pasaman;66,28;2,1;11,41;11,25;2,93;1,41;1,36;1,86;1,4
2022;Sumatera Barat;Kab. Dharmasraya;;;;;;;;;
2022;Sumatera Barat;Kab. Solok Selatan;34,25;0,78;16,35;25,69;0,13;0,59;0,55;2,41;19,25
2022;Sumatera Barat;Kab. Pasaman Barat;40;10;15;20;5;;;5;5
2022;Sumatera Barat;Kota Padang;62,8;6,84;5,7;12,4;0,19;3,3;1,5;2,4;4,87
2022;Sumatera Barat;Kota Solok;45,7;10,02;11,1;23,2;0,84;0,6;0,21;1,1;7,23
2022;Sumatera Barat;Kota Sawahlunto;46;10;11;14;3;5;4;5;2
2022;Sumatera Barat;Kota Padang Panjang;43,15;23,56;14,35;12,67;1,5;0,95;0,8;1,19;1,83
