Tahun;P;Provinsi;Kabupaten/Kota;Nama Fasilitas;Jenis;Status;Sampahmasuk (ton/thn);Sampahterkelola (ton/thn);Bahan baku Pakan Ternak;Bahan baku Kompos;Bahan baku Daur Ulang;Bahan baku Up-cycle;Bahan baku Sumber Energi;Alamat;Kelurahan;Kecamatan;Pengelola
2022;2;Aceh;Kota Banda Aceh;Bank Sampah Induk Sadar Mandiri;BSI;A;1.636,30;1.498,11;0,00;0,00;1.498,11;0,00;0,00;Jl Tgk  Dianjong;kampung jawa;kuta raja;Masyarakat
2022;2;Aceh;Kota Langsa;Bank Sampah Induk Srikandi;BSI;A;120,45;118,63;0,00;7,30;27,38;83,95;0,00;Jalan Prof. Majid Ibrahim No. 100;Matang Seulimeng;Langsa Barat;Masyarakat
2022;2;Sumatera Utara;Kab. Tapanuli Selatan;Bank Sampah Bintuju;BSI;A;51,10;0,00;0,00;0,00;0,00;0,00;0,00;Jl. Mandailing KM 14 Kelurahan Bintuju Kecamatan Angkola Muaratais;;;LSM
2022;2;Sumatera Utara;Kab. Langkat;Bank Sampah Induk Stabat;BSI;A;839,50;748,25;0,00;0,00;748,25;0,00;0,00;Jl Karya Bakti;sidomulyo;stabat;Masyarakat
2022;2;Sumatera Utara;Kab. Langkat;Bank Sampah Induk Kuala;BSI;A;1.785,58;1.509,65;0,00;0,00;1.261,88;247,77;0,00;Jln Binjai Kuala  No 124;Bela Rakyat;Kuala;Masyarakat
2022;2;Sumatera Utara;Kab. Langkat;sumatera trash bank;BSI;A;511,00;434,72;0,00;0,00;434,72;0,00;0,00;bukit lawang;bahorok;bahorok;Masyarakat
2022;2;Sumatera Utara;Kab. Langkat;Bank Sampah Induk Stabat;BSI;A;839,50;748,25;0,00;0,00;748,25;0,00;0,00;Jl Karya Bakti;sidomulyo;stabat;Masyarakat
2022;2;Sumatera Utara;Kab. Langkat;Bank Sampah Induk Kuala;BSI;A;1.785,58;1.509,65;0,00;0,00;1.261,88;247,77;0,00;Jln Binjai Kuala  No 124;Bela Rakyat;Kuala;Masyarakat
2022;2;Sumatera Utara;Kab. Langkat;sumatera trash bank;BSI;A;511,00;434,72;0,00;0,00;434,72;0,00;0,00;bukit lawang;bahorok;bahorok;Masyarakat
2022;2;Sumatera Utara;Kab. Deli Serdang;Bank Sampah Induk Sunggal Mandiri;BSI;A;730,00;730,00;0,00;0,00;730,00;0,00;0,00;Jl. Melati No.56, dusun VIII;;;Masyarakat
2022;2;Sumatera Utara;Kab. Deli Serdang;Bank Sampah Induk SUNGGAL MANDIRI;BSI;A;73,00;73,00;0,00;0,00;73,00;0,00;0,00;Bintang Terang Gg. Asem XVII;Muliorejo;Sunggal;Masyarakat
2022;2;Sumatera Utara;Kab. Deli Serdang;BANK SAMPAH INDUK BERSERI;BSI;A;182,50;0,00;0,00;0,00;0,00;0,00;0,00;Jalan Inpres;;;Masyarakat
2022;2;Sumatera Utara;Kab. Deli Serdang;Bank Sampah Induk Sunggal Mandiri;BSI;A;730,00;730,00;0,00;0,00;730,00;0,00;0,00;Jl. Melati No.56, dusun VIII;;;Masyarakat
2022;2;Sumatera Utara;Kab. Deli Serdang;Bank Sampah Induk SUNGGAL MANDIRI;BSI;A;73,00;73,00;0,00;0,00;73,00;0,00;0,00;Bintang Terang Gg. Asem XVII;Muliorejo;Sunggal;Masyarakat
2022;2;Sumatera Utara;Kab. Deli Serdang;BANK SAMPAH INDUK BERSERI;BSI;A;182,50;0,00;0,00;0,00;0,00;0,00;0,00;Jalan Inpres;;;Masyarakat
2022;2;Sumatera Utara;Kab. Simalungun;Simpati Sait Buttu;BSI;A;365,00;7,30;3,65;3,65;0,00;0,00;0,00;Pamatang Sidamanik;;;Masyarakat
2022;2;Sumatera Utara;Kab. Simalungun;Simpati Sait Buttu;BSI;A;365,00;7,30;3,65;3,65;0,00;0,00;0,00;Pamatang Sidamanik;;;Masyarakat
2022;2;Sumatera Utara;Kab. Asahan;Bank Sampah Srikandi;BSI;A;1,46;0,00;0,00;0,00;0,00;0,00;0,00;Jl. W.R. Supratman No. 13;Lestari;Kisaran Timur;Pemda
2022;2;Sumatera Utara;Kab. Toba;Bank Sampah Tarhilala;BSI;A;150,43;150,43;0,00;0,00;150,43;0,00;0,00;Jl. Raya Balige, Ds Lbn Pea Timur;;;Pemda
2022;2;Sumatera Utara;Kab. Toba;Bank Sampah Ias Toba;BSI;A;63,34;63,25;0,00;0,00;63,25;0,00;0,00;jl. Somba Debata No. 7 Balige;;;Pemda
2022;2;Sumatera Utara;Kab. Toba;Bank Sampah Tarhilala;BSI;A;150,43;150,43;0,00;0,00;150,43;0,00;0,00;Jl. Raya Balige, Ds Lbn Pea Timur;;;Pemda
2022;2;Sumatera Utara;Kab. Toba;Bank Sampah Ias Toba;BSI;A;63,34;63,25;0,00;0,00;63,25;0,00;0,00;jl. Somba Debata No. 7 Balige;;;Pemda
2022;2;Sumatera Utara;Kota Medan;BSI Sicanang;BSI;A;6.570,00;2.920,00;730,00;365,00;1.825,00;0,00;0,00;Jalan Kelapa Blok 21 Link 19;Kelurahan Belawan Sicanang;Medan Belawan;Masyarakat
2022;2;Sumatera Utara;Kota Medan;BSI- New Normal;BSI;A;730.000,00;0,00;0,00;0,00;0,00;0,00;0,00;Jl. Ring Road Pasar I Gg. Mekar Mulio;;;Masyarakat
2022;2;Sumatera Utara;Kota Pematang Siantar;BANK SAMPAH INDUK KOTA PEMATANGSIANTAR;BSI;A;182,50;182,50;10,95;146,00;25,55;0,00;0,00;Jl. AMD (Komples Terminal Tanjung Pinggir);Tanjung Tongah;Siantar Martoba;Pemda
2022;2;Sumatera Utara;Kota Tebing Tinggi;Bank Sampah Induk BAJA;BSI;A;723,88;723,88;0,00;0,00;723,88;0,00;0,00;JL. Baja;Tebing Tinggi;Padang Hilir;LSM
2022;2;Sumatera Utara;Kota Tebing Tinggi;Bank Sampah Induk NEW KARYA MANDIRI;BSI;A;272,91;272,91;0,00;0,00;264,15;8,76;0,00;Jl. Bukit Bundar  LK 3;Lalang;Rambutan;LSM
2022;2;Sumatera Barat;Kab. Pesisir Selatan;Bank Sampah Induk HIGEMPAMA;BSI;A;365,00;365,00;0,00;0,00;365,00;0,00;0,00;Jl. Painan - Bengkulu;Painan Selatan;IV Jurai;Masyarakat
2022;2;Sumatera Barat;Kab. Pesisir Selatan;Bank Sampah Induk HIGEMPAMA;BSI;A;365,00;365,00;0,00;0,00;365,00;0,00;0,00;Jl. Painan - Bengkulu;Painan Selatan;IV Jurai;Masyarakat
2022;2;Sumatera Barat;Kab. Sijunjung;Bank Sampah Induk Lansek Manih;BSI;A;554,80;554,80;0,00;0,00;554,80;0,00;0,00;Muaro;Muaro;Sijunjung;Pemda
2022;2;Sumatera Barat;Kab. Sijunjung;Bank Sampah Induk Lansek Manih;BSI;A;554,80;554,80;0,00;0,00;554,80;0,00;0,00;Muaro;Muaro;Sijunjung;Pemda
2022;2;Sumatera Barat;Kab. Tanah Datar;Bank Sampah Induk ANISA;BSI;A;1.095,73;1.095,37;0,00;0,00;1.095,37;0,00;0,00;Baringin;Baringin;Lima Kaum;Masyarakat
2022;2;Sumatera Barat;Kab. Tanah Datar;Bank Sampah Induk ANISA;BSI;A;1.095,73;1.095,37;0,00;0,00;1.095,37;0,00;0,00;Baringin;Baringin;Lima Kaum;Masyarakat
