Tahun;P;Provinsi;Kabupaten/Kota;Nama Fasilitas;Jenis;Status;Sampahmasuk (ton/thn);Sampahterkelola (ton/thn);Bahan baku Pakan Ternak;Bahan baku Kompos;Bahan baku Daur Ulang;Bahan baku Up-cycle;Bahan baku Sumber Energi;Alamat;Kelurahan;Kecamatan;Pengelola
2023;1;Aceh;Kab. Aceh Singkil;Bank Sampah Rimo Kompos;BSI;A;63,88;63,88;0,00;54,75;9,13;0,00;0,00;Jalan Singkil Rimo Km 5 Aceh Singkil;;;Masyarakat
2023;1;Aceh;Kab. Aceh Singkil;Bank Sampah Rimo Kompos;BSI;A;63,88;63,88;0,00;54,75;9,13;0,00;0,00;Jalan Singkil Rimo Km 5 Aceh Singkil;;;Masyarakat
2023;1;Aceh;Kota Banda Aceh;Bank Sampah Induk Sadar Mandiri;BSI;A;1.655,84;1.641,24;0,00;0,00;1.641,24;0,00;0,00;Jl Tgk  Dianjong;kampung jawa;kuta raja;Masyarakat
2023;1;Aceh;Kota Langsa;Bank Sampah Induk Srikandi;BSI;A;18,25;18,25;0,00;5,48;7,30;5,48;0,00;Jalan Prof. Majid Ibrahim No. 100;Matang Seulimeng;Langsa Barat;Masyarakat
2023;1;Sumatera Utara;Kab. Langkat;sumatera trash bank;BSI;A;613,93;466,18;0,00;0,00;466,18;0,00;0,00;bukit lawang;bahorok;bahorok;Masyarakat
2023;1;Sumatera Utara;Kab. Langkat;Bank Sampah Induk Stabat;BSI;A;920,53;770,52;0,00;0,00;770,52;0,00;0,00;Jl Karya Bakti;sidomulyo;stabat;Masyarakat
2023;1;Sumatera Utara;Kab. Langkat;sumatera trash bank;BSI;A;613,93;466,18;0,00;0,00;466,18;0,00;0,00;bukit lawang;bahorok;bahorok;Masyarakat
2023;1;Sumatera Utara;Kab. Langkat;Bank Sampah Induk Stabat;BSI;A;920,53;770,52;0,00;0,00;770,52;0,00;0,00;Jl Karya Bakti;sidomulyo;stabat;Masyarakat
2023;1;Sumatera Utara;Kab. Simalungun;Simpati Sait Buttu;BSI;A;365,00;7,30;3,65;3,65;0,00;0,00;0,00;Pamatang Sidamanik;;;Masyarakat
2023;1;Sumatera Utara;Kab. Simalungun;Simpati Sait Buttu;BSI;A;365,00;7,30;3,65;3,65;0,00;0,00;0,00;Pamatang Sidamanik;;;Masyarakat
2023;1;Sumatera Utara;Kota Sibolga;Bank Sampah Induk KSM SIBOLGA;BSI;A;7.300,00;0,00;0,00;0,00;0,00;0,00;0,00;Jl. Jend Sudirman;Kel. Huta Barangan;Sibolga Utara;Pemda
2023;1;Sumatera Barat;Kab. Pesisir Selatan;Bank Sampah Induk HIGEMPAMA;BSI;A;365,00;365,00;0,00;0,00;365,00;0,00;0,00;Jl. Painan - Bengkulu;Painan Selatan;IV Jurai;Masyarakat
2023;1;Sumatera Barat;Kab. Sijunjung;Bank Sampah Induk Lansek Manih;BSI;A;414,28;412,45;0,00;0,00;412,45;0,00;0,00;Muaro;Muaro;Sijunjung;Pemda
2023;1;Sumatera Barat;Kab. Sijunjung;Bank Sampah Induk Lansek Manih;BSI;A;414,28;412,45;0,00;0,00;412,45;0,00;0,00;Muaro;Muaro;Sijunjung;Pemda
2023;1;Sumatera Barat;Kab. Tanah Datar;Bank Sampah Induk ANISA;BSI;A;1.067,81;1.067,63;0,00;0,00;1.067,63;0,00;0,00;Baringin;Baringin;Lima Kaum;Masyarakat
2023;1;Sumatera Barat;Kab. Tanah Datar;Bank Sampah Induk ANISA;BSI;A;1.067,81;1.067,63;0,00;0,00;1.067,63;0,00;0,00;Baringin;Baringin;Lima Kaum;Masyarakat
2023;1;Sumatera Barat;Kab. Agam;Bank Sampah Yuli Mutiara;BSI;A;1.825,00;1.642,50;0,00;0,00;1.642,50;0,00;0,00;Jl. Jendral A. Yani, Simpang Tembok;;Lubuk Basung;LSM
2023;1;Sumatera Barat;Kab. Agam;Bank Sampah Yuli Mutiara;BSI;A;1.825,00;1.642,50;0,00;0,00;1.642,50;0,00;0,00;Jl. Jendral A. Yani, Simpang Tembok;;Lubuk Basung;LSM
2023;1;Sumatera Barat;Kab. Dharmasraya;BANK SAMPAH INDUK;BSI;A;949,00;293,83;0,00;0,00;293,83;0,00;0,00;Jl. lubuk bulag, kecamatan Gunuug Selasih;;;LSM
2023;1;Sumatera Barat;Kab. Dharmasraya;BANK SAMPAH INDUK;BSI;A;949,00;293,83;0,00;0,00;293,83;0,00;0,00;Jl. lubuk bulag, kecamatan Gunuug Selasih;;;LSM
2023;1;Sumatera Barat;Kota Solok;Bank Sampah Hanasty;BSI;A;273,75;273,75;0,00;0,00;273,75;0,00;0,00;Jalan Teneng No.7;Tanah Garam;Lubuk Sikarah;Masyarakat
2023;1;Sumatera Barat;Kota Sawahlunto;BSI CEMARA;BSI;A;365,00;365,00;0,00;0,00;365,00;0,00;0,00;Zainuddin Tembak;Lubang Panjang;Barangin;Masyarakat
2023;1;Sumatera Barat;Kota Sawahlunto;BANK SAMPAH INDUK EMAS BERSIH;BSI;A;149,65;146,00;0,00;0,00;146,00;0,00;0,00;KAYU GADANG;;;LSM
2023;1;Sumatera Barat;Kota Padang Panjang;Bank Sampah Induk Bank Sampah Sarunai;BSI;A;26,06;24,09;0,00;0,29;23,80;0,00;0,00;Jl. Ar Rasuli  RT 5;Ekor Lubuk;Padang Panjang Timur;LSM
2023;1;Sumatera Barat;Kota Bukittinggi;Bank induk Mutiara Indah;BSI;A;730,00;730,00;0,00;0,00;730,00;0,00;0,00;Aua Tajungkang tangah sawah;;;Masyarakat
2023;1;Riau;Kab. Rokan Hilir;Bank Sampah Barokah DLH Mantap;BSI;A;109,50;104,76;43,80;32,85;21,90;6,21;0,00;Jalan TPA Batu 6 Pesisir Bagansiapiapi;;;Pemda
2023;1;Riau;Kab. Rokan Hilir;Bank Sampah Induk Tani Sehat;BSI;A;31,76;0,00;0,00;0,00;0,00;0,00;0,00;Jalan Pasar Rabu Tanah Merah;Lenggadai Hulu;Rimba Melintang;Masyarakat
2023;1;Riau;Kab. Rokan Hilir;Bank Sampah Barokah DLH Mantap;BSI;A;109,50;104,76;43,80;32,85;21,90;6,21;0,00;Jalan TPA Batu 6 Pesisir Bagansiapiapi;;;Pemda
2023;1;Riau;Kab. Rokan Hilir;Bank Sampah Induk Tani Sehat;BSI;A;31,76;0,00;0,00;0,00;0,00;0,00;0,00;Jalan Pasar Rabu Tanah Merah;Lenggadai Hulu;Rimba Melintang;Masyarakat
2023;1;Riau;Kab. Kuantan Singingi;PLASTINDO FAMILY;BSI;A;3,65;1,83;0,00;0,00;1,83;0,00;0,00;Beringin Taluk;;;Pemda
2023;1;Riau;Kab. Kuantan Singingi;Pasar Pangean;BSI;A;109,50;88,70;15,70;0,00;36,50;36,50;0,00;Rt/Rw 014/ Pasar Baru Pangean, Kec. Pangean;;;LSM
2023;1;Riau;Kab. Kuantan Singingi;PLASTINDO FAMILY;BSI;A;3,65;1,83;0,00;0,00;1,83;0,00;0,00;Beringin Taluk;;;Pemda
2023;1;Riau;Kab. Kuantan Singingi;Pasar Pangean;BSI;A;109,50;88,70;15,70;0,00;36,50;36,50;0,00;Rt/Rw 014/ Pasar Baru Pangean, Kec. Pangean;;;LSM
2023;1;Sumatera Selatan;Kab. Muara Enim;Bank Sampah Induk Manfaat Bersama;BSI;A;109,79;72,45;0,00;0,00;72,45;0,00;0,00;Muara Enim;Muara Enim;Muara Enim;LSM
2023;1;Sumatera Selatan;Kab. Muara Enim;Bank Sampah Induk Manfaat Bersama;BSI;A;109,79;72,45;0,00;0,00;72,45;0,00;0,00;Muara Enim;Muara Enim;Muara Enim;LSM
2023;1;Sumatera Selatan;Kab. Lahat;Bank Sampah Induk DP PARTNER;BSI;A;1.079,59;602,56;0,00;351,06;251,50;0,00;0,00;Jl. Alternatif Lintas Lahat Pagaralam Perumahan Bungamas Indikat Ilir;Desa Indikat Ilir;Gumay Talang;Masyarakat
2023;1;Sumatera Selatan;Kab. Lahat;Bank Sampah Induk DP PARTNER;BSI;A;1.079,59;602,56;0,00;351,06;251,50;0,00;0,00;Jl. Alternatif Lintas Lahat Pagaralam Perumahan Bungamas Indikat Ilir;Desa Indikat Ilir;Gumay Talang;Masyarakat
2023;1;Sumatera Selatan;Kota Prabumulih;Bank Sampah Induk Bank Sampah Prabumulih;BSI;A;164,25;154,18;0,00;3,65;150,53;0,00;0,00;JL. Arjuna 2 02/05;Wonosari;Prabumulih Utara;LSM
2023;1;Lampung;Kab. Tanggamus;Bank Sampah Tanggamus;BSI;A;7,51;7,50;0,00;0,00;7,50;0,00;0,00;AMS Way Som;Kota Agung;Kota Agung;LSM
2023;1;Lampung;Kab. Tanggamus;Bank Sampah Tanggamus;BSI;A;7,51;7,50;0,00;0,00;7,50;0,00;0,00;AMS Way Som;Kota Agung;Kota Agung;LSM
2023;1;Kepulauan Riau;Kab. Bintan;Bank Sampah Induk Penyu Belimbing;BSI;A;967,25;956,30;0,00;51,10;905,20;0,00;0,00;Jl. Korindo Km.22 No.01 A RT.003/RW.01;Sungai Lekop;Bintan Timur;Masyarakat
2023;1;Kepulauan Riau;Kab. Bintan;Bank Sampah Induk Penyu Belimbing;BSI;A;967,25;956,30;0,00;51,10;905,20;0,00;0,00;Jl. Korindo Km.22 No.01 A RT.003/RW.01;Sungai Lekop;Bintan Timur;Masyarakat
2023;1;Kepulauan Riau;Kab. Karimun;Bank Sampah Induk al-baroqah;BSI;A;3.285,00;3.272,23;0,00;0,00;3.272,23;0,00;0,00;jln.ahmad yani;sungai lakam barat;karimun;Masyarakat
2023;1;Kepulauan Riau;Kab. Karimun;Bank Sampah Induk al-baroqah;BSI;A;3.285,00;3.272,23;0,00;0,00;3.272,23;0,00;0,00;jln.ahmad yani;sungai lakam barat;karimun;Masyarakat
2023;1;DKI Jakarta;Kota Adm. Jakarta Pusat;Bank Sampah Induk Jakarta Pusat;BSI;A;222,65;222,65;222,65;0,00;0,00;0,00;0,00;Komplek Perkantoran Rawa Kerbau Rawasari Selatan 16/02;Cempaka Putih Timur;Cempaka Putih;Masyarakat
2023;1;DKI Jakarta;Kota Adm. Jakarta Utara;MOUNTRES;BSI;A;1,56;1,56;0,00;0,00;1,56;0,00;0,00;Semper Barat;;;LSM
2023;1;Jawa Barat;Kab. Kuningan;MAJU;BSI;A;146.000,00;876,00;0,00;0,00;876,00;0,00;0,00;JL Moch Yamin;;;Pemda
2023;1;Jawa Barat;Kab. Kuningan;KALIFAH;BSI;A;2.920.000,00;1.825,00;0,00;0,00;1.825,00;0,00;0,00;Jl. SUDIRMAN - KUNINGAN;;;LSM
2023;1;Jawa Barat;Kab. Kuningan;MAJU;BSI;A;146.000,00;876,00;0,00;0,00;876,00;0,00;0,00;JL Moch Yamin;;;Pemda
2023;1;Jawa Barat;Kab. Kuningan;KALIFAH;BSI;A;2.920.000,00;1.825,00;0,00;0,00;1.825,00;0,00;0,00;Jl. SUDIRMAN - KUNINGAN;;;LSM
2023;1;Jawa Barat;Kota Bogor;Bank Sampah Induk BASIBA Kota Bogor;BSI;A;276,27;275,72;0,00;0,00;275,72;0,00;0,00;Paledang No.34 -;Paledang;Bogor Tengah;LSM
2023;1;Jawa Barat;Kota Tasikmalaya;Bank Sampah Induk Resik;BSI;A;51,47;49,64;0,00;0,00;49,64;0,00;0,00;Jl. Noenoeng Tisnasaputra;Kahuripan;Tawang;Pemda
2023;1;Jawa Tengah;Kab. Purworejo;BANK SAMPAH INDUK JATI MULYO (JATIMALANG);BSI;A;8,68;8,56;0,00;4,38;4,18;0,00;0,00;DESA JATIMALANG;;;LSM
2023;1;Jawa Tengah;Kab. Purworejo;Bank Sampah Induk TRI GUYUB RUKUN;BSI;A;89,91;89,91;0,00;0,00;89,91;0,00;0,00;Jl. Magelang KM 5;Trirejo;Loano;LSM
2023;1;Jawa Tengah;Kab. Purworejo;BANK SAMPAH INDUK JATI MULYO (JATIMALANG);BSI;A;8,68;8,56;0,00;4,38;4,18;0,00;0,00;DESA JATIMALANG;;;LSM
2023;1;Jawa Tengah;Kab. Purworejo;Bank Sampah Induk TRI GUYUB RUKUN;BSI;A;89,91;89,91;0,00;0,00;89,91;0,00;0,00;Jl. Magelang KM 5;Trirejo;Loano;LSM
2023;1;Jawa Tengah;Kab. Magelang;BSI Sekar Gendis;BSI;A;49.640,00;5.621,00;0,00;0,00;5.621,00;0,00;0,00;Kaweron;;;LSM
2023;1;Jawa Tengah;Kab. Magelang;BSI Sekar Gendis;BSI;A;49.640,00;5.621,00;0,00;0,00;5.621,00;0,00;0,00;Kaweron;;;LSM
2023;1;Jawa Tengah;Kab. Blora;Berkah Mustika Poring;BSI;A;1.003,75;954,48;0,00;0,00;954,48;0,00;0,00;Ds. Temurejo;kalisangku;Blpra Kota;Masyarakat
2023;1;Jawa Tengah;Kab. Blora;Berkah Mustika Poring;BSI;A;1.003,75;954,48;0,00;0,00;954,48;0,00;0,00;Ds. Temurejo;kalisangku;Blpra Kota;Masyarakat
2023;1;Jawa Tengah;Kab. Jepara;Bank Sampah Induk Berseri;BSI;A;215,61;215,61;0,00;0,00;215,61;0,00;0,00;Jl. Sidiq Harun No. 5;Ujungbatu;Jepara;LSM
2023;1;Jawa Tengah;Kab. Jepara;Bank Sampah Induk Berseri;BSI;A;215,61;215,61;0,00;0,00;215,61;0,00;0,00;Jl. Sidiq Harun No. 5;Ujungbatu;Jepara;LSM
2023;1;Jawa Tengah;Kota Magelang;Bank Sampah Induk LEMBAH TIDAR LESTARI;BSI;A;1.798,21;1.025,42;0,00;0,00;0,00;1.025,42;0,00;Pahlawan No 4;Magelang;Magelang Tengah;Pemda
2023;1;Jawa Tengah;Kota Semarang;BS INDUK;BSI;A;1.819,40;1.819,40;0,00;0,00;1.819,40;0,00;0,00;JLN. TAPAK RAYA TUGUREJO, TUGU, KOTA SEMARANG;;;Masyarakat
2023;1;Jawa Timur;Kab. Trenggalek;BANK SAMPAH INDUK MEKAR JAYA;BSI;A;36,50;36,50;0,00;0,00;36,50;0,00;0,00;Trenggalek, Karangan, Trenggalek Regency, East Java 66361;Karangan;Karangan;Masyarakat
2023;1;Jawa Timur;Kab. Trenggalek;Bank Sampah Induk BANK SAMPAH PEMUDA;BSI;A;438,00;408,80;0,00;0,00;408,80;0,00;0,00;KAB. TRENGGALEK;;;Masyarakat
2023;1;Jawa Timur;Kab. Trenggalek;BANK SAMPAH INDUK MEKAR JAYA;BSI;A;36,50;36,50;0,00;0,00;36,50;0,00;0,00;Trenggalek, Karangan, Trenggalek Regency, East Java 66361;Karangan;Karangan;Masyarakat
