Tahun;Provinsi;Kabupaten/Kota;Sisa Makanan (%);Kayu-Ranting (%);Kertas-Karton (%);Plastik(%);Logam(%);Kain(%);Karet- Kulit (%);Kaca(%);Lainnya(%)
2022;Aceh;Kab. Aceh Selatan;0;0;0;0;0;0;0;0;0
2022;Aceh;Kab. Aceh Tenggara;13667;3667;667;6000;667;1667;5667;1333;0
2022;Aceh;Kab. Aceh Timur;23383;8847;3160;16431;3160;1896;1264;2528;2528
2022;Aceh;Kab. Aceh Barat;15475;4924;3961;6738;1148;963;666;740;2406
2022;Aceh;Kab. Pidie;5516;4867;12525;23168;2596;649;1947;1298;12331
2022;Aceh;Kab. Simeulue;843;2125;1942;5817;2748;1083;904;331;488
2022;Aceh;Kab. Aceh Singkil;5778;1926;2889;4237;385;963;578;385;2119
2022;Aceh;Kab. Aceh Barat Daya;9213;3118;5670;3402;3118;425;850;1134;1417
2022;Aceh;Kab. Gayo Lues;5245;3447;749;3747;0;0;0;300;1499
2022;Aceh;Kab. Aceh Jaya;11200;172;1895;2412;603;172;172;431;172
2022;Aceh;Kab. Nagan Raya;9620;3544;2785;5063;253;253;506;253;3038
2022;Aceh;Kab. Aceh Tamiang;15422;6609;6609;13219;441;441;441;441;441
2022;Aceh;Kab. Bener Meriah;5058;6021;4576;4335;723;723;723;723;1204
2022;Aceh;Kab. Pidie Jaya;5516;7635;3774;7548;726;1016;1074;1016;726
2022;Aceh;Kota Banda Aceh;29826;18964;2762;4419;4235;6260;12151;4373;9068
2022;Aceh;Kota Sabang;1672;1047;662;1426;385;271;271;233;341
2022;Aceh;Kota Langsa;6549;6894;2758;4136;4826;3447;2413;2758;689
2022;Aceh;Kota Subulussalam;3788;2029;1353;2435;271;947;1082;271;1353
2022;Sumatera Utara;Kab. Tapanuli Tengah;36799;7;7677;8863;249;2211;566;1072;9955
2022;Sumatera Utara;Kab. Nias;0;0;0;0;0;0;0;0;0
2022;Sumatera Utara;Kab. Langkat;72323;57097;45678;13323;381;381;190;0;0
2022;Sumatera Utara;Kab. Deli Serdang;84298;98691;56747;83065;24673;20561;12336;8224;22617
2022;Sumatera Utara;Kab. Simalungun;10254;3598;28787;38147;690;14356;8390;16034;66188
2022;Sumatera Utara;Kab. Asahan;0;0;0;0;0;0;0;0;0
2022;Sumatera Utara;Kab. Toba;0;0;0;0;0;0;0;0;0
2022;Sumatera Utara;Kab. Humbang Hasundutan;2598;11910;2165;2815;650;217;43;173;1083
2022;Sumatera Utara;Kota Medan;0;0;0;0;0;0;0;0;0
2022;Sumatera Utara;Kota Pematang Siantar;39655;5287;10575;8812;4406;2644;3525;3525;9693
2022;Sumatera Utara;Kota Tebing Tinggi;28521;787;5199;7574;332;1183;323;832;737
2022;Sumatera Utara;Kota Padangsidimpuan;29492;4477;8009;7507;224;1943;667;1282;5464
2022;Sumatera Barat;Kab. Pesisir Selatan;11384;10937;12835;10603;8929;234;882;0;0
2022;Sumatera Barat;Kab. Solok;16692;11512;6907;12663;1151;1151;1151;1151;5180
2022;Sumatera Barat;Kab. Sijunjung;7387;13538;5853;7103;1385;142;107;0;0
2022;Sumatera Barat;Kab. Tanah Datar;32630;0;4061;2823;1054;739;0;1567;4183
2022;Sumatera Barat;Kab. Padang Pariaman;25327;0;10172;34838;167;621;1648;430;6391
2022;Sumatera Barat;Kab. Agam;54596;3135;4680;6239;1560;218;78;468;7019
2022;Sumatera Barat;Kab. Lima Puluh Kota;0;0;0;0;0;0;0;0;0
2022;Sumatera Barat;Kab. Pasaman;29331;929;5049;4978;1297;624;602;823;620
2022;Sumatera Barat;Kab. Dharmasraya;0;0;0;0;0;0;0;0;0
2022;Sumatera Barat;Kab. Solok Selatan;9244;211;4413;6933;35;159;148;650;5195
2022;Sumatera Barat;Kab. Pasaman Barat;25551;6388;9582;12775;3194;0;0;3194;3194
2022;Sumatera Barat;Kota Padang;147563;16072;13393;29137;446;7754;3525;5639;11443
2022;Sumatera Barat;Kota Solok;9053;1985;2199;4596;166;119;42;218;1432
2022;Sumatera Barat;Kota Sawahlunto;3166;688;757;964;206;344;275;344;138
2022;Sumatera Barat;Kota Padang Panjang;7709;4209;2564;2264;268;170;143;213;327
2022;Sumatera Barat;Kota Bukittinggi;27936;521;7542;8556;210;407;0;229;306
2022;Sumatera Barat;Kota Payakumbuh;18897;2720;4181;7886;238;571;209;318;1589
2022;Sumatera Barat;Kota Pariaman;7565;1529;2033;1923;232;127;91;225;239
2022;Riau;Kab. Indragiri Hulu;13235;6617;6617;13235;3309;3309;3309;3309;13235
2022;Riau;Kab. Bengkalis;69682;3460;2762;4798;497;918;870;1893;10189
2022;Riau;Kab. Rokan Hulu;40447;7957;11670;26788;928;5172;1591;1724;36336
2022;Riau;Kab. Rokan Hilir;17021;26748;18237;38906;3647;4863;2432;2432;7295
2022;Riau;Kab. Siak;26573;10220;6814;17715;681;1363;1363;2044;1363
2022;Riau;Kab. Kuantan Singingi;0;0;0;0;0;0;0;0;0
2022;Riau;Kota Pekanbaru;210337;10695;42780;35650;7130;3565;3565;3565;39215
2022;Riau;Kota Dumai;29656;4542;3210;5420;1375;2253;1514;1690;10901
2022;Jambi;Kab. Merangin;0;0;0;0;0;0;0;0;0
2022;Jambi;Kab. Sarolangun;26234;767;4801;10026;30;300;60;111;536
2022;Jambi;Kab. Bungo;35004;2372;8158;3414;1041;868;2980;579;3442
2022;Jambi;Kota Jambi;25726;38070;11785;70375;1421;910;1964;479;8958
2022;Jambi;Kota Sungai Penuh;4391;0;3293;3659;2744;1647;2012;0;549
2022;Sumatera Selatan;Kab. Ogan Komering Ulu;19445;13889;5556;8333;3889;1667;1111;1667;0
2022;Sumatera Selatan;Kab. Muara Enim;96297;12735;11647;27112;1799;2099;568;489;5066
2022;Sumatera Selatan;Kab. Lahat;59044;9939;1968;13777;1712;5412;256;886;5412
2022;Sumatera Selatan;Kab. Musi Rawas;0;0;0;0;0;0;0;0;0
