Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan (ton/tahun)(A);Sampah Terkelola Tahunan (ton/tahun)(B+C)
2022;Aceh;Kab. Aceh Selatan;35218;12820
2022;Aceh;Kab. Aceh Tenggara;33333;10407
2022;Aceh;Kab. Aceh Timur;63196;21161
2022;Aceh;Kab. Aceh Barat;37022;32017
2022;Aceh;Kab. Pidie;64898;32620
2022;Aceh;Kab. Simeulue;16281;7133
2022;Aceh;Kab. Aceh Singkil;19261;1867
2022;Aceh;Kab. Aceh Barat Daya;28348;8558
2022;Aceh;Kab. Gayo Lues;14986;9684
2022;Aceh;Kab. Aceh Jaya;17231;11459
2022;Aceh;Kab. Nagan Raya;25315;12845
2022;Aceh;Kab. Aceh Tamiang;44063;20075
2022;Aceh;Kab. Bener Meriah;24085;9411
2022;Aceh;Kab. Pidie Jaya;29029;7132
2022;Aceh;Kota Banda Aceh;92056;90191
2022;Aceh;Kota Sabang;6308;5998
2022;Aceh;Kota Langsa;34470;29767
2022;Aceh;Kota Subulussalam;13530;9125
2022;Sumatera Utara;Kab. Tapanuli Tengah;67397;21432
2022;Sumatera Utara;Kab. Nias;21272;2757
2022;Sumatera Utara;Kab. Langkat;190324;33179
2022;Sumatera Utara;Kab. Deli Serdang;411211;257906
2022;Sumatera Utara;Kab. Simalungun;186445;45718
2022;Sumatera Utara;Kab. Asahan;172565;64926
2022;Sumatera Utara;Kab. Toba;35059;18498
2022;Sumatera Utara;Kab. Humbang Hasundutan;21654;14092
2022;Sumatera Utara;Kota Medan;628749;518253
2022;Sumatera Utara;Kota Pematang Siantar;88121;84045
2022;Sumatera Utara;Kota Tebing Tinggi;45488;39232
2022;Sumatera Utara;Kota Padangsidimpuan;59066;45005
2022;Sumatera Barat;Kab. Pesisir Selatan;55803;23032
2022;Sumatera Barat;Kab. Solok;57559;13255
2022;Sumatera Barat;Kab. Sijunjung;35514;14674
2022;Sumatera Barat;Kab. Tanah Datar;47057;25431
2022;Sumatera Barat;Kab. Padang Pariaman;79594;5063
2022;Sumatera Barat;Kab. Agam;77994;31057
2022;Sumatera Barat;Kab. Lima Puluh Kota;55955;19363
2022;Sumatera Barat;Kab. Pasaman;44253;26473
2022;Sumatera Barat;Kab. Dharmasraya;37831;35841
2022;Sumatera Barat;Kab. Solok Selatan;26989;11643
2022;Sumatera Barat;Kab. Pasaman Barat;63877;21656
2022;Sumatera Barat;Kota Padang;234973;220300
2022;Sumatera Barat;Kota Solok;19810;19778
2022;Sumatera Barat;Kota Sawahlunto;6883;6771
2022;Sumatera Barat;Kota Padang Panjang;17865;17488
2022;Sumatera Barat;Kota Bukittinggi;45708;43961
2022;Sumatera Barat;Kota Payakumbuh;36609;36450
